X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1105.0,1105.0,train,1.5738519734526812E-4,32.94266120040549,0.6560080281477558
1108.0,1108.0,train,1.463388577041277E-4,26.81035477716285,0.629254038961987
1109.0,1109.0,train,2.4187009481561615E-4,92.00776577927813,0.8060160061358544
1110.0,1110.0,train,2.086683089012179E-4,74.8902283571752,0.7570398256243098
1111.0,1111.0,train,6.877397985353089E-5,9.51260359786131,0.37269105692182747
1113.0,1113.0,train,1.969662093319225E-4,65.17249653657194,0.736976697636003
1114.0,1114.0,train,1.5235675178978372E-4,29.821579138430366,0.6440774085910027
1116.0,1116.0,train,1.4784269727811562E-4,27.456270391122533,0.6330151999427995
1117.0,1117.0,train,1.6777356128745553E-4,40.40701814956796,0.6794042767280287
1118.0,1118.0,train,1.8459791819520595E-4,53.7074032909366,0.7139676896562915
1119.0,1119.0,train,2.0292344375358039E-4,70.40407081055638,0.74738916358181
1121.0,1121.0,train,1.4633937284830144E-4,26.810568812535145,0.6292553339350688
1123.0,1123.0,train,1.9314005900997037E-4,61.78595672234994,0.7300638316325336
1124.0,1124.0,train,1.7949413716654574E-4,49.509584336902876,0.7038960629629222
1125.0,1125.0,train,1.6785492773474842E-4,40.493014856591145,0.6795811000570995
1126.0,1126.0,train,1.9501165132852733E-4,63.47816617996374,0.7334677245549595
1127.0,1127.0,train,2.117140968493319E-4,77.3763706852488,0.762005912236838
1128.0,1128.0,train,7.043359954222172E-5,9.819838229729475,0.37971053931514476
1129.0,1129.0,train,1.4978195421962455E-4,28.257451427359694,0.6378090845601974
1132.0,1132.0,train,1.2025396416937139E-4,18.506136285101622,0.557525209843041
1133.0,1133.0,train,1.8697138500585437E-4,55.89582854985387,0.7185339918809219
1136.0,1136.0,train,6.821791104182114E-5,9.418952975668766,0.37032140105932
1137.0,1137.0,train,1.878171748871767E-4,56.655865653900385,0.7201435253625506
1139.0,1139.0,train,1.396329002678123E-4,23.816889186648503,0.6120074022015921
1140.0,1140.0,train,9.171379821483519E-5,13.065273481566285,0.463053929561385
1141.0,1141.0,train,1.892288727257044E-4,57.99032218121415,0.7228095031972626
1142.0,1142.0,train,1.827387477869055E-4,52.19257840195649,0.7103391590293089
1144.0,1144.0,train,2.1627927939269653E-4,80.44152586979511,0.7692598929032692
1145.0,1145.0,train,1.3133337439726286E-4,21.172612748774903,0.5895473842493337
1146.0,1146.0,train,1.8777907228834234E-4,56.627244315481455,0.7200712147005537
1148.0,1148.0,train,9.500905354876809E-5,13.518887881373253,0.47491798830579024
1151.0,1151.0,train,2.9176887874872665E-4,98.87937261800678,0.8616977946561659
1152.0,1152.0,train,2.150449516372632E-4,79.49143542670521,0.7673206666083502
1153.0,1153.0,train,1.5126950132242397E-4,29.27551060047103,0.6414438485052134
1155.0,1155.0,train,1.8216767529332948E-4,51.811587611302755,0.7092153865369804
1158.0,1158.0,train,1.470650467234544E-4,27.104189013331585,0.6310750543692156
1159.0,1159.0,train,1.9799387643197315E-4,65.99861979125068,0.7388030759955032
1160.0,1160.0,train,1.8120644671955758E-4,50.923466735650955,0.707314000038921
1161.0,1161.0,train,1.0880576963703139E-4,16.002905790650704,0.5218105457150042
1162.0,1162.0,train,1.6242576343032886E-4,36.54262412848309,0.6675660514591428
1163.0,1163.0,train,2.2002078709600756E-4,82.39741808779229,0.7750399064371283
1164.0,1164.0,train,2.2103307630163155E-4,82.94134268946952,0.7765786873072524
1166.0,1166.0,train,1.1251670064800763E-4,16.784235536610513,0.5336924712548958
1169.0,1169.0,train,1.5029355985634585E-4,28.654097326512893,0.639063311452758
1171.0,1171.0,train,1.2545135460169965E-4,19.809454950540477,0.5728466735297244
1173.0,1173.0,train,1.8405498666280334E-4,53.21278022205177,0.7129127780569327
1174.0,1174.0,train,1.0038992482168541E-4,14.490953311563688,0.4937301018566589
1175.0,1175.0,train,2.4096420747724093E-4,91.53696302056223,0.8048208329821424
