x,y,species cloglog values
201.0,201.0,0.49531826
202.0,202.0,0.012713518
203.0,203.0,0.38856667
204.0,204.0,0.025567923
205.0,205.0,0.078193896
206.0,206.0,0.21584609
207.0,207.0,0.006964357
208.0,208.0,0.008317681
209.0,209.0,0.002027707
210.0,210.0,0.061235774
211.0,211.0,0.0013921445
212.0,212.0,0.032652378
213.0,213.0,9.966864E-4
214.0,214.0,0.017490605
215.0,215.0,0.3345172
216.0,216.0,0.401389
217.0,217.0,0.2215294
218.0,218.0,0.017860264
219.0,219.0,0.009059865
220.0,220.0,0.53015804
221.0,221.0,0.0042219604
222.0,222.0,0.038935386
223.0,223.0,5.214745E-4
224.0,224.0,0.013276445
225.0,225.0,0.010867175
226.0,226.0,0.01224747
227.0,227.0,0.0026193573
228.0,228.0,0.0064291777
229.0,229.0,0.17012651
230.0,230.0,0.45639887
231.0,231.0,0.025513029
232.0,232.0,0.7492688
233.0,233.0,7.341337E-4
234.0,234.0,0.06218925
235.0,235.0,6.5743E-5
236.0,236.0,0.015670652
237.0,237.0,0.13707975
238.0,238.0,0.008459714
239.0,239.0,0.005041718
240.0,240.0,0.5680288
241.0,241.0,0.06428438
242.0,242.0,0.0302478
243.0,243.0,5.3956505E-4
244.0,244.0,0.0010647055
245.0,245.0,0.04054962
246.0,246.0,0.033731326
247.0,247.0,0.011112872
248.0,248.0,0.005041182
249.0,249.0,0.05934442
250.0,250.0,0.0260321
251.0,251.0,0.0152937565
252.0,252.0,6.883409E-4
253.0,253.0,0.27691233
254.0,254.0,4.0141272E-4
255.0,255.0,0.021600408
256.0,256.0,0.10598747
257.0,257.0,0.0066956417
258.0,258.0,6.5593416E-4
259.0,259.0,8.515776E-5
260.0,260.0,0.102250874
261.0,261.0,7.0532993E-4
262.0,262.0,4.7715465E-4
263.0,263.0,0.013363872
264.0,264.0,0.012246852
265.0,265.0,0.015657946
266.0,266.0,0.011161734
267.0,267.0,0.027191006
268.0,268.0,0.23509634
269.0,269.0,0.0015059169
270.0,270.0,0.0022683544
271.0,271.0,0.004925876
272.0,272.0,0.61128986
273.0,273.0,0.0033399523
274.0,274.0,0.002372919
275.0,275.0,0.13233745
276.0,276.0,0.0014822858
277.0,277.0,0.03263656
278.0,278.0,0.0053044525
279.0,279.0,0.009754385
280.0,280.0,0.0071545984
281.0,281.0,0.41064525
282.0,282.0,6.141691E-4
283.0,283.0,0.056770183
284.0,284.0,0.020028401
285.0,285.0,0.011368265
286.0,286.0,0.07078379
287.0,287.0,8.2666957E-4
288.0,288.0,0.3724063
289.0,289.0,0.014969211
290.0,290.0,0.016263083
291.0,291.0,0.5650666
292.0,292.0,0.15279168
293.0,293.0,0.0012368191
294.0,294.0,0.048995994
295.0,295.0,0.06566338
296.0,296.0,0.25425282
297.0,297.0,0.09706844
298.0,298.0,0.23005463
299.0,299.0,0.012514312
300.0,300.0,0.006110602
301.0,301.0,0.0026142288
302.0,302.0,0.23655145
303.0,303.0,0.019783337
304.0,304.0,0.03527945
305.0,305.0,0.29104608
306.0,306.0,0.10962403
307.0,307.0,0.028658934
308.0,308.0,2.6392733E-4
309.0,309.0,0.018081143
310.0,310.0,0.036047813
311.0,311.0,0.005631496
312.0,312.0,0.06893026
313.0,313.0,0.0016111194
314.0,314.0,4.6402423E-4
315.0,315.0,0.0032515011
316.0,316.0,0.26135263
317.0,317.0,0.08755242
318.0,318.0,0.1874578
319.0,319.0,0.07579821
320.0,320.0,7.5482036E-4
321.0,321.0,6.2420644E-4
322.0,322.0,0.2656727
323.0,323.0,0.08159572
324.0,324.0,0.009972588
325.0,325.0,0.005590868
326.0,326.0,0.2423455
327.0,327.0,0.0044469163
328.0,328.0,0.007133586
329.0,329.0,0.33746016
330.0,330.0,0.011998229
331.0,331.0,0.0028391003
332.0,332.0,0.17608966
333.0,333.0,0.07986777
334.0,334.0,0.011616531
335.0,335.0,0.057909504
336.0,336.0,0.0018245885
337.0,337.0,0.033262983
338.0,338.0,0.048555877
339.0,339.0,0.010149151
340.0,340.0,0.03545783
341.0,341.0,0.049750697
342.0,342.0,0.07174718
343.0,343.0,0.00159948
344.0,344.0,0.00236043
345.0,345.0,0.115269884
346.0,346.0,0.101509616
347.0,347.0,0.02463016
348.0,348.0,3.656418E-4
349.0,349.0,0.26866323
350.0,350.0,0.0011024433
351.0,351.0,0.39838496
352.0,352.0,0.021052325
353.0,353.0,0.0035332183
354.0,354.0,0.005775153
355.0,355.0,0.0037742057
356.0,356.0,0.010295145
357.0,357.0,0.002500897
358.0,358.0,0.044609636
359.0,359.0,0.0014576061
360.0,360.0,0.0723897
361.0,361.0,0.001782355
362.0,362.0,0.030475548
363.0,363.0,0.19730425
364.0,364.0,0.0019121808
365.0,365.0,0.42722744
366.0,366.0,0.061717607
367.0,367.0,0.0014191766
368.0,368.0,0.011622219
369.0,369.0,0.0011780538
370.0,370.0,0.005729459
371.0,371.0,0.015583379
372.0,372.0,0.009970933
373.0,373.0,0.06445739
374.0,374.0,0.06893182
375.0,375.0,0.0054432596
376.0,376.0,0.0073701194
377.0,377.0,0.022855828
378.0,378.0,0.0047093267
379.0,379.0,0.037089385
380.0,380.0,0.10056501
381.0,381.0,0.0015835935
382.0,382.0,2.6141084E-4
383.0,383.0,0.008953078
384.0,384.0,0.0030150376
385.0,385.0,0.14176248
386.0,386.0,0.011896764
387.0,387.0,0.21899712
388.0,388.0,0.0029528819
389.0,389.0,0.025722047
390.0,390.0,0.0014866148
391.0,391.0,0.0037734213
392.0,392.0,0.06938558
393.0,393.0,9.358779E-4
394.0,394.0,0.044627134
395.0,395.0,0.009353649
396.0,396.0,0.0037056461
397.0,397.0,4.0611206E-4
398.0,398.0,0.11802767
399.0,399.0,0.02631061
400.0,400.0,0.16949354
401.0,401.0,0.03182779
402.0,402.0,0.004021699
403.0,403.0,0.026049046
404.0,404.0,9.5480843E-4
405.0,405.0,0.0041106436
406.0,406.0,0.25822505
407.0,407.0,0.12504122
408.0,408.0,0.05522879
