Rowid_,VALUE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,BGD,20,5667,141675000000.000000000000000,0.002955011557788,0.084458522498608,0.081503510940820,0.017582259801109,0.009661445008281,99.638666292885318
,BGR,21,6046,151150000000.000000000000000,0.005716160405427,0.061230875551701,0.055514715146273,0.022371193067270,0.007798865073070,135.256233284715563
,BHR,22,11,275000000.000000000000000,0.024931475520134,0.034625958651304,0.009694483131170,0.030684930695729,0.002728586789648,0.337534237653017
,BIH,24,2846,71150000000.000000000000000,0.004155479837209,0.078049570322037,0.073894090484828,0.021184000128374,0.009647612212227,60.289664365351200
,BLR,25,13896,347400000000.000000000000000,0.005957916844636,0.051895245909691,0.045937329065055,0.020754978836188,0.005820099097547,288.411185907665640
,BLZ,26,874,21850000000.000000000000000,0.003297602524981,0.040294766426086,0.036997163901106,0.014307821605853,0.005532381866107,12.505036083515733
,BOL,28,45570,1139250000000.000000000000000,0.001814519520849,0.210929363965988,0.209114844445139,0.030933422184771,0.041809804741820,1409.636048960033804
,BRA,29,349049,8726225000000.000000000000000,0.001530200708658,0.107506677508354,0.105976476799697,0.019953115762012,0.008328284464173,6964.615103614516556
,BRN,31,219,5475000000.000000000000000,0.002555466489866,0.038271237164736,0.035715770674869,0.014334276657696,0.004981839516285,3.139206588035449
,BTN,32,1753,43825000000.000000000000000,0.000657930853777,0.145001575350761,0.144343644496985,0.042775693615177,0.025708556510601,74.985790907405317
,BWA,33,24968,624200000000.000000000000000,0.012069266289473,0.052634395658970,0.040565129369497,0.030900281424643,0.004682803514355,771.518226610496640
,CAF,34,25159,628975000000.000000000000000,0.003417941974476,0.044635221362114,0.041217279387638,0.020981217796955,0.005426129529764,527.866458553588018
,CAN,35,727658,18191450000000.000000000000000,0.000417843606556,0.162121295928955,0.161703452322399,0.053860167477163,0.033587312000699,39191.781746097665746
,CHE,36,2410,60250000000.000000000000000,0.001955996733159,0.141703814268112,0.139747817534953,0.020893493431323,0.013275939257925,50.353319169487804
,CHL,37,34810,870250000000.000000000000000,0.000000000000000,0.227486878633499,0.227486878633499,0.030725650977853,0.026144496659993,1069.559910539072007
,CHN,38,470342,11758550000000.000000000000000,0.000000000000000,0.259966760873795,0.259966760873795,0.017152946045957,0.025480366438107,8067.750949147364736
,CIV,39,12698,317450000000.000000000000000,0.003068582620472,0.082731083035469,0.079662500414997,0.023450993181282,0.007994346635852,297.780711415922269
,CMR,40,18781,469525000000.000000000000000,0.002314167562872,0.065980054438114,0.063665886875242,0.018254520294149,0.009328174569764,342.838145644403994
,COD,41,90321,2258025000000.000000000000000,0.001649122801609,0.076617635786533,0.074968512984924,0.018995427540696,0.009624899538776,1715.686010903213173
,COG,42,13743,343575000000.000000000000000,0.002757541369647,0.049142509698868,0.046384968329221,0.013964678226970,0.005729335421215,191.916572873247787
,COL,43,45543,1138575000000.000000000000000,0.001085130963475,0.075327418744564,0.074242287781090,0.019032499239086,0.006969975066392,866.797112845699303
,CRI,46,1985,49625000000.000000000000000,0.002012174809352,0.062551431357861,0.060539256548509,0.017298340859004,0.008423424912623,34.337206605123356
,CUB,47,4227,105675000000.000000000000000,0.005104545503855,0.097167827188969,0.092063281685114,0.024305472007012,0.007484190956588,102.739230173639953
,CYP,49,258,6450000000.000000000000000,0.010495654307306,0.059165008366108,0.048669354058802,0.030121900599681,0.008231382718735,7.771450354717672
,CZE,50,4877,121925000000.000000000000000,0.004277713131160,0.052491627633572,0.048213914502412,0.021169808185271,0.005943235139937,103.245154519565403
,DEU,51,22506,562650000000.000000000000000,0.005000331439078,0.066876687109470,0.061876355670393,0.021621574153076,0.005967985988541,486.615147889126092
,DJI,52,857,21425000000.000000000000000,0.022216865792871,0.083542734384537,0.061325868591666,0.056605483375950,0.011844786191179,48.510899253189564
,DNK,54,2584,64600000000.000000000000000,0.008969594724476,0.048172507435083,0.039202912710607,0.021748155530257,0.005135859314397,56.197233890183270
,DOM,55,364,9100000000.000000000000000,0.006326181814075,0.050689190626144,0.044363008812070,0.021209384905747,0.007832849335896,7.720216105692089
,DZA,56,105243,2631075000000.000000000000000,0.005703029688448,0.120906166732311,0.115203137043864,0.034850531058899,0.009543144283085,3667.774440231733024
,ECU,57,9789,244725000000.000000000000000,0.001855344162323,0.089439578354359,0.087584234192036,0.018317739651827,0.007905206977233,179.312353451736271
,EGY,58,43930,1098250000000.000000000000000,0.010533259250224,0.059665106236935,0.049131846986711,0.034554101297140,0.006229093323340,1517.961669983342290
,ERI,59,4893,122325000000.000000000000000,0.009933581575751,0.077737279236317,0.067803697660565,0.039630468697043,0.009364799665032,193.911883334629238
,ESH,60,10204,255100000000.000000000000000,0.015109015628695,0.054171353578568,0.039062337949872,0.028166773506144,0.005537819320350,287.413756856694818
